osm_id,name,latitude,longitude,city,state,country,address,description,wikidata,tags
3071601170,Shastri Chowk,16.7488304,77.133389,,Karnataka,India,,,,"{'historic': 'monument', 'junction': 'yes', 'name': 'Shastri Chowk', 'name:kn': 'ಶಾಸ್ತ್ರೀ ಚೌಕ್'}"
3150443028,Kudluteertha Falls,13.4103862,75.1218925,,Karnataka,India,,,,"{'alt_name': 'Seeta Falls', 'name': 'Kudluteertha Falls', 'name:kn': 'ಕೂಡ್ಲುತೀರ್ಥ', 'tourism': 'attraction', 'waterway': 'waterfall'}"
3156734709,Channarayana Durga,13.5977419,77.2086651,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Channarayana Durga', 'name:kn': 'ಚನ್ನರಾಯನ ದುರ್ಗ'}"
3185202648,Nandi Durga,13.368039,77.6821501,,Karnataka,India,,,,"{'access': 'yes', 'historic': 'castle', 'name': 'Nandi Durga', 'name:kn': 'ನಂದಿದುರ್ಗ'}"
3185202655,Varlakonda Fort,13.6364992,77.7778175,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Varlakonda Fort', 'name:kn': 'ವರ್ಲಕೊಂಡ ಕೋಟೆ'}"
3198709028,Planetarium,17.3334921,76.8315552,Kalaburagi,Karnataka,India,Tank Bund Road,,,"{'addr:street': 'Tank Bund Road', 'amenity': 'planetarium', 'name': 'Planetarium', 'tourism': 'museum'}"
3219006253,Coffee Museum,13.3414502,75.8102484,Chikkamagaluru,Karnataka,India,,,,"{'name': 'Coffee Museum', 'operator': 'Coffee Board of India', 'tourism': 'museum'}"
3223052629,Hutridurga,12.9618724,77.1240124,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Hutridurga', 'name:kn': 'ಹುತ್ರಿದುರ್ಗ'}"
3224357583,Krishnaraja Wodeyar,12.3087837,76.6530657,Mysuru,Karnataka,India,,,,"{'historic': 'monument', 'name': 'Krishnaraja Wodeyar', 'name:kn': 'ಕೃಷ್ಣರಾಜ ಒಡೆಯರು'}"
3244912585,Chaityalaya,16.0177209,75.8842246,,Karnataka,India,,,,"{'amenity': 'place_of_worship', 'historic': 'yes', 'name': 'Chaityalaya', 'name:kn': 'ಚೈತ್ಯಾಲಯ', 'religion': 'buddhist'}"
3276157874,Sand museum,12.2950285,76.6820189,Mysuru,Karnataka,India,,,,"{'fee': 'yes', 'name': 'Sand museum', 'opening_hours': 'Mo-Su 08:30-18:30', 'tourism': 'museum', 'website': 'https://www.mysoretourism.org.in/mysore-sand-sculpture-museum', 'wheelchair': 'limited'}"
3276157977,Melody World Wax Museum,12.3023964,76.6777198,Mysuru,Karnataka,India,Vihara Marga,,,"{'addr:city': 'Mysuru', 'addr:postcode': '570010', 'addr:street': 'Vihara Marga', 'name': 'Melody World Wax Museum', 'opening_hours': '10:00-19:00', 'phone': '099004 54707', 'tourism': 'museum'}"
3287221014,Karadidurga,14.5481237,76.0396002,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Karadidurga', 'name:kn': 'ಕರಡಿದುರ್ಗ'}"
3287221016,Uchchangidurga,14.5607438,76.0485371,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Uchchangidurga', 'name:kn': 'ಉಚ್ಚಂಗಿದುರ್ಗ'}"
3298494102,CV Raman Statue,12.979247,77.6531648,Bengaluru,Karnataka,India,,,,"{'historic': 'memorial', 'memorial': 'statue', 'name': 'CV Raman Statue', 'name:kn': 'ಎಲ್ ಆರ್ ಡಿ ಇ ಜಂಕ್ಷನ್', 'subject': 'C. V. Raman', 'subject:wikidata': 'Q60429'}"
